stimuli,category,correct_response,columna izquierda,columna derecha,grupo,stimuli_color
Niña,Femenino,e,Ciencias Sociales Femenino,Ciencias Exactas Masculino,0,#008000
Femenino,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Tía,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Hija,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Esposa,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Mujer,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Madre,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Abuela,Femenino,e,Ciencias Sociales,Ciencias Exactas,0,#008000
Hombre,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Niño,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Padre,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Masculino,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Abuelo,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Esposo,Masculino,i,Ciencias Sociales,Ciencias Exactas Masculino,0,#008000
Hijo,Masculino,i,Ciencias Sociales Femenino,Ciencias Exactas,0,#008000
Tío,Masculino,i,Ciencias Sociales,Ciencias Exactas,0,#008000
Filosofía,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Educación,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Arte,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Literatura,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Trabajo Social,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Historia,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Biología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Física,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Química,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Matemáticas,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Geología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Astronomía,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Ingeniería,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Niña,Femenino,e,Ciencias Exactas - Femenino,Ciencias Sociales - Masculino,1,#008000
Femenino,Femenino,e,Ciencias Exactas,Ciencias Sociales ,1,#008000
Tía,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Hija,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Esposa,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Mujer,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Madre,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Abuela,Femenino,e,Ciencias Exactas,Ciencias Sociales,1,#008000
Hombre,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
Niño,Masculino,i,Ciencias Exactas,Ciencias Sociales,1,#008000
