stimuli,category,correct_response,columna izquierda,columna derecha,grupo,stimuli_color
Filosofía,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Humanidades,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Arte,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Literatura,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Música,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Historia,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Biología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Física,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Química,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Matemáticas,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Geología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Astronomía,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Ingienería,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,0,#FFFFFF
Filosofía,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Humanidades,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Arte,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Literatura,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Música,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Historia,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Biología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Física,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Química,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Matemáticas,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Geología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Astronomía,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Ingienería,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,1,#FFFFFF
Filosofía,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Humanidades,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Arte,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Literatura,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Música,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Historia,Ciencias Sociales,e,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Biología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Física,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Química,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Matemáticas,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Geología,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Astronomía,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Ingienería,Ciencias Exactas,i,Ciencias Sociales,Ciencias Exactas,2,#FFFFFF
Filosofía,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Humanidades,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Arte,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Literatura,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Música,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Historia,Ciencias Sociales,i,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Biología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Física,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Química,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Matemáticas,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Geología,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Astronomía,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
Ingienería,Ciencias Exactas,e,Ciencias Exactas,Ciencias Sociales,3,#FFFFFF
